marca,modello,ft,prezzo_min,prezzo_medio,potenza_media_kw,bagagliaio_l,consumo_medio,peso_medio_kg,lunghezza_mm,n_versioni,consumo_stimato,trazione_prevalente,larghezza_mm,altezza_mm
CUPRA,Terramar,petrol/electric,43650,49100.0,150.0,400.0,6.5,,4519.0,9,True,anteriore,1863.0,1584.0
DACIA,Bigster,petrol/electric,24800,27800.0,103.0,609.0,5.5,,4570.0,17,True,anteriore,1813.0,1711.0
DACIA,Duster,lpg,19900,23350.0,90.0,517.0,8.5,,4343.0,11,True,anteriore,1813.0,1616.0
DACIA,Duster,petrol/electric,23150,28150.0,104.0,517.0,5.5,,4343.0,14,True,anteriore,1813.0,1616.0
DACIA,Jogger,lpg,18100,21500.0,90.0,708.0,6.0,,4547.0,17,False,anteriore,1784.0,1674.0
DACIA,Jogger,petrol,20700,21975.0,81.0,434.0,6.0,,4547.0,4,False,anteriore,1784.0,1674.0
DACIA,Jogger,petrol/electric,25150,26850.0,115.0,160.0,4.6,,4547.0,11,False,anteriore,1784.0,1674.0
DACIA,Sandero,lpg,16500,18200.0,90.0,410.0,8.5,,4099.0,9,True,anteriore,1758.0,1499.0
DACIA,Sandero,petrol,14800,17250.0,74.0,410.0,6.3,,4088.0,6,False,anteriore,1758.0,1499.0
DACIA,Spring,electric,17900,19450.0,19.0,343.0,15.0,,3701.0,8,True,anteriore,1583.0,1519.0
DS,DS 3,electric,42080,42780.0,62.0,350.0,15.0,,4118.0,5,True,anteriore,1791.0,1534.0
DS,DS 3,petrol/electric,34350,35250.0,107.0,350.0,5.5,,4118.0,5,True,anteriore,1791.0,1534.0
DS,DS 4,diesel,38350,39550.0,96.0,430.0,4.0,,4400.0,5,False,anteriore,1866.0,1490.0
DS,DS 4,petrol/electric,37650,45675.0,136.0,430.0,1.6,,4400.0,10,False,anteriore,1866.0,1490.0
DS,DS 7,diesel,45900,46900.0,96.0,555.0,4.0,,4593.0,5,False,anteriore,1906.0,1625.0
DS,DS N&deg;4,diesel,40200,41900.0,96.0,430.0,4.0,,4400.0,6,False,anteriore,1830.0,1490.0
DS,DS N&deg;4,electric,43550,44950.0,104.0,390.0,18.0,,4400.0,10,True,anteriore,1830.0,1490.0
DS,DS N&deg;4,petrol/electric,39000,48050.0,165.0,360.0,1.6,,4400.0,18,False,anteriore,1830.0,1490.0
DS,DS N&deg;8,electric,59150,71490.0,105.0,620.0,18.0,,4835.0,7,True,anteriore,1895.0,1575.0
FERRARI,12Cilindri,petrol,395000,415000.0,607.0,235.0,8.5,,4733.0,2,True,posteriore,2000.0,1292.0
FERRARI,296 GTB,petrol/electric,275500,341250.0,629.0,169.0,6.5,,4595.0,2,True,posteriore,1963.0,1184.0
FERRARI,296 GTS,petrol/electric,320000,391000.0,629.0,169.0,6.5,,4595.0,2,True,posteriore,1963.0,1186.0
FERRARI,Amalfi,petrol,240000,240000.0,471.0,273.0,10.7,,4660.0,1,False,posteriore,1974.0,1301.0
FERRARI,Purosangue,petrol,390000,390000.0,529.0,473.0,8.5,,4973.0,1,True,integrale permanente,2028.0,1589.0
FERRARI,Roma,petrol,219071,234535.5,456.0,263.5,10.7,,4656.0,2,False,posteriore,1974.0,1303.5
FIAT,500,electric,23900,28400.0,43.0,185.0,15.0,,3631.0,10,True,anteriore,1684.0,1532.0
FIAT,500,petrol/electric,19900,22150.0,48.0,183.0,4.8,,3631.0,6,True,anteriore,1684.0,1532.0
FIAT,500 2015,petrol/electric,17700,18950.0,51.0,185.0,3.9,,3571.0,2,False,anteriore,1627.0,1488.0
FIAT,500 cabrio 2015,petrol/electric,20200,22700.0,51.0,185.0,3.9,,3571.0,3,False,anteriore,1627.0,1488.0
FIAT,Grande Panda,electric,23900,25150.0,53.0,361.0,15.0,,3999.0,4,True,anteriore,1763.0,1586.0
FIAT,Grande Panda,petrol,17900,20025.0,74.0,412.0,5.1,,3999.0,4,False,anteriore,1763.0,1586.0
FIAT,Grande Panda,petrol/electric,19900,22025.0,81.0,412.0,5.1,,3999.0,4,False,anteriore,1763.0,1586.0
FIAT,Panda,petrol/electric,15950,16800.0,52.0,225.0,3.9,,3686.0,3,False,anteriore,1643.0,1551.0
FIAT,Panda Cross,petrol/electric,18600,18600.0,51.0,225.0,3.9,,3705.0,1,False,anteriore,1662.0,1600.0
FIAT,Pandina,petrol/electric,15950,16900.0,48.0,225.0,4.8,,3686.0,3,True,anteriore,1714.0,1551.0
FIAT,Tipo 4p,diesel,18200,19125.0,96.0,520.0,4.6,,4532.0,2,False,anteriore,1792.0,1497.0
FORD,E-Tourneo Courier,electric,35000,35625.0,52.0,,15.0,,4343.0,2,True,posteriore,1813.0,1827.0
FORD,Focus berlina,diesel,33850,35000.0,85.0,375.0,4.3,,4397.0,5,False,anteriore,1825.0,1515.0
FORD,Focus berlina,petrol/electric,30600,31750.0,92.0,375.0,4.3,,4397.0,5,False,anteriore,1825.0,1515.0
FORD,Focus station,diesel,34850,36000.0,85.0,608.0,3.8,,4693.0,5,False,anteriore,1825.0,1487.0
FORD,Focus station,petrol/electric,31600,32750.0,92.0,608.0,4.1,,4693.0,5,False,anteriore,1825.0,1487.0
FORD,Kuga,petrol,36000,41000.0,111.0,435.0,5.5,,4745.0,7,False,anteriore,1882.0,1651.0
FORD,Kuga,petrol/electric,38750,46000.0,134.0,405.0,4.4,,4745.0,17,False,anteriore,1882.0,1651.0
