marca,modello,ft,prezzo_min,prezzo_medio,potenza_media_kw,bagagliaio_l,consumo_medio,peso_medio_kg,lunghezza_mm,n_versioni,consumo_stimato,trazione_prevalente,larghezza_mm,altezza_mm
MERCEDES,Classe T,petrol,33894,35082.0,96.0,,4.6,,4488.0,3,False,anteriore,1859.0,1811.0
MERCEDES,GLA,diesel,44929,54393.0,110.0,420.0,4.9,,4443.0,26,False,anteriore,1849.0,1611.0
MERCEDES,GLA,petrol,82980,84971.5,310.0,420.0,8.8,,4443.0,2,False,anteriore,1849.0,1611.0
MERCEDES,GLA,petrol/electric,43770,54768.0,120.0,420.0,5.7,,4443.0,29,False,anteriore,1849.0,1611.0
MG,Cyberster,electric,63000,65500.0,197.5,249.0,22.0,,4535.0,2,True,integrale permanente,1913.0,1329.0
MG,MG HS,petrol/electric,31990,36240.0,182.5,507.0,6.5,,4670.0,4,True,anteriore,1890.0,1664.0
MG,MG3,petrol,16990,17740.0,85.0,293.0,6.5,,4113.0,2,True,anteriore,1797.0,1502.0
MG,MG3,petrol/electric,19990,21490.0,143.0,293.0,4.4,,4113.0,3,False,anteriore,1797.0,1502.0
MG,MG4 Electric,electric,31790,36790.0,69.0,363.0,15.0,,4287.0,8,True,posteriore,1836.0,1516.0
MG,MG5S EV,electric,32990,36490.0,84.0,453.0,18.0,,4476.0,3,True,posteriore,1849.0,1621.0
MG,ZS,petrol,20490,21490.0,85.0,443.0,6.5,,4430.0,2,True,anteriore,1818.0,1635.0
MG,ZS,petrol/electric,25490,26490.0,145.0,443.0,4.4,,4430.0,2,False,anteriore,1818.0,1635.0
MINI,Aceman,electric,32106,36956.0,65.0,300.0,15.0,,4079.0,11,True,anteriore,1754.0,1514.0
MINI,Mini 3 porte,petrol,27906,31531.0,132.5,210.0,4.9,,3876.0,10,False,anteriore,1744.0,1432.0
MINI,Mini 5 porte,petrol,28906,32406.0,115.0,275.0,4.9,,4036.0,9,False,anteriore,1744.0,1464.0
MINI,Mini All Electric,electric,29506,34866.0,65.0,210.0,15.0,,3858.0,13,True,anteriore,1756.0,1460.0
MINI,Mini Cooper Cabrio,petrol,32906,35956.0,150.0,160.0,8.5,,3879.0,7,True,anteriore,1744.0,1431.0
MINI,Mini Countryman,electric,38706,42706.0,68.0,460.0,15.0,,4445.0,9,True,anteriore,1843.0,1661.0
MINI,Mini Countryman,petrol,33806,34056.0,90.0,440.0,6.5,,4444.0,3,True,anteriore,1843.0,1661.0
MINI,Mini Countryman,petrol/electric,35306,39356.0,125.0,436.0,5.5,,4444.0,14,True,anteriore,1843.0,1661.0
MITSUBISHI,ASX,lpg,25900,25900.0,90.0,355.0,8.5,,4227.0,1,True,anteriore,1797.0,1567.0
MITSUBISHI,ASX,petrol,24900,24900.0,84.0,484.0,6.5,,4227.0,1,True,anteriore,1797.0,1567.0
MITSUBISHI,ASX,petrol/electric,26900,29400.0,110.0,416.0,5.5,,4227.0,4,True,anteriore,1797.0,1567.0
MITSUBISHI,Grandis,petrol/electric,28900,32900.0,104.0,576.0,5.5,,4413.0,7,True,anteriore,1797.0,1575.0
MITSUBISHI,Outlander,petrol/electric,46900,51900.0,225.0,467.0,6.5,,4719.0,4,True,integrale permanente,1862.0,1746.0
NISSAN,Ariya,electric,42500,57600.0,45.0,468.0,15.0,,4595.0,6,True,anteriore,1850.0,1660.0
NISSAN,Juke,petrol,26000,29325.0,84.0,422.0,6.5,,4210.0,8,True,anteriore,1800.0,1593.0
NISSAN,Juke,petrol/electric,30300,32775.0,105.0,354.0,5.5,,4210.0,4,True,anteriore,1800.0,1593.0
NISSAN,Qashqai,petrol/electric,32600,40600.0,116.0,504.0,5.0,,4425.0,22,False,anteriore,1835.0,1625.0
NISSAN,Townstar,petrol,28100,33500.0,96.0,700.0,6.0,,4488.0,10,False,anteriore,1860.0,1838.0
NISSAN,Townstar EV,electric,41300,42200.0,51.0,600.0,15.0,,4699.5,2,True,anteriore,1860.0,1853.5
NISSAN,X-Trail,petrol/electric,38300,46700.0,150.0,575.0,5.2,,4680.0,21,False,anteriore,1840.0,1725.0
OPEL,Astra,diesel,32950,35750.0,96.0,422.0,5.2,,4391.0,3,True,anteriore,1860.0,1470.0
OPEL,Astra,petrol/electric,32450,39250.0,143.0,422.0,6.5,,4391.0,7,True,anteriore,1860.0,1470.0
OPEL,Astra station,diesel,34150,36950.0,96.0,598.0,5.2,,4642.0,3,True,anteriore,1860.0,1480.0
OPEL,Astra station,petrol/electric,33650,40450.0,143.0,516.0,6.5,,4642.0,7,True,anteriore,1860.0,1480.0
OPEL,Combo,diesel,26680,30380.0,96.0,850.0,4.4,,4760.0,9,False,anteriore,1848.0,1860.5
OPEL,Combo,petrol,26080,26080.0,81.0,597.0,5.3,,4410.0,1,False,anteriore,1848.0,1860.5
OPEL,Corsa,petrol,21000,21375.0,74.0,309.0,4.2,,4055.0,4,False,anteriore,1765.0,1433.0
OPEL,Corsa,petrol/electric,24150,25575.0,81.0,309.0,5.1,,4055.0,6,False,anteriore,1765.0,1433.0
OPEL,Corsa-e,electric,34150,35575.0,57.0,308.0,15.0,,4060.0,6,True,anteriore,1765.0,1433.0
OPEL,Frontera,petrol/electric,26100,27850.0,94.0,460.0,5.5,,4380.0,4,True,anteriore,1795.0,1627.0
OPEL,Frontera-e,electric,31050,33050.0,53.0,460.0,15.0,,4382.5,4,True,anteriore,1795.0,1627.0
OPEL,Mokka,petrol,27850,29600.0,100.0,310.0,6.5,,4151.0,4,True,anteriore,1787.0,1535.0
OPEL,Mokka,petrol/electric,30850,32600.0,107.0,350.0,5.5,,4150.0,4,True,anteriore,1787.0,1535.0
PEUGEOT,2008 / e-2008,electric,39350,41350.0,62.0,434.0,15.0,,4300.0,4,True,anteriore,1770.0,1523.0
PEUGEOT,2008 / e-2008,petrol,27950,28200.0,74.0,434.0,5.5,,4304.0,3,True,anteriore,1770.0,1523.0
PEUGEOT,2008 / e-2008,petrol/electric,30770,32420.0,107.0,434.0,5.1,,4300.0,8,False,anteriore,1770.0,1523.0
PEUGEOT,208 / e-208,electric,35430,36630.0,62.0,309.0,15.0,,4055.0,9,True,anteriore,1745.0,1430.0
PEUGEOT,208 / e-208,petrol,22350,22800.0,74.0,352.0,5.5,,4055.0,4,True,anteriore,1745.0,1430.0
PEUGEOT,208 / e-208,petrol/electric,24970,26620.0,81.0,352.0,5.1,,4055.0,7,False,anteriore,1745.0,1430.0
PEUGEOT,308,diesel,33620,36020.0,96.0,412.0,5.2,,4365.0,5,True,anteriore,1852.0,1438.0
PEUGEOT,308,petrol/electric,33140,39090.0,107.0,412.0,5.5,,4367.0,8,True,anteriore,1852.0,1438.0
PEUGEOT,308 station,diesel,34620,37020.0,96.0,608.0,5.2,,4635.0,5,True,anteriore,1852.0,1438.0
PEUGEOT,308 station,petrol/electric,34140,40090.0,107.0,600.0,5.5,,4636.0,8,True,anteriore,1852.0,1438.0
PEUGEOT,408,electric,43180,47890.0,104.0,471.0,18.0,,4687.0,3,True,anteriore,1848.0,1478.0
PEUGEOT,408,petrol/electric,38670,46100.0,165.0,418.0,6.5,,4690.0,11,True,anteriore,1848.0,1478.0
PEUGEOT,Rifter,diesel,27680,30730.0,96.0,1050.0,5.2,,4753.0,6,True,anteriore,1848.0,1818.0
PEUGEOT,Rifter,petrol,27080,27080.0,81.0,775.0,5.4,,4405.0,1,False,anteriore,1848.0,1818.0
PEUGEOT,e-308,electric,39980,41330.0,62.0,412.0,15.0,,4367.0,2,True,anteriore,1852.0,1438.0
PEUGEOT,e-Rifter,electric,37530,39280.0,62.0,912.5,15.0,,4578.0,4,True,anteriore,1848.0,1880.0
PORSCHE,Cayenne,electric,111443,133274.0,320.0,781.0,22.0,,4985.0,3,True,integrale permanente,1980.0,1674.0
PORSCHE,Cayenne 2017,petrol,108366,126193.0,304.5,772.0,10.9,,4930.0,4,False,integrale permanente,1983.0,1678.0
PORSCHE,Cayenne 2017,petrol/electric,119929,136523.0,382.0,545.0,3.0,,4930.0,5,False,integrale permanente,1983.0,1678.0
PORSCHE,Cayenne Coup&eacute;,electric,115529,137455.0,320.0,534.0,22.0,,4985.0,3,True,integrale permanente,1983.0,1674.0
PORSCHE,Cayenne Coup&eacute;,petrol,112529,129869.0,304.5,592.0,10.2,,4930.0,4,False,integrale permanente,1983.0,1674.0
PORSCHE,Cayenne Coup&eacute;,petrol/electric,122727,143445.5,382.0,434.0,3.6,,4930.0,6,False,integrale permanente,1983.0,1674.0
PORSCHE,Macan EV,electric,87287,97708.0,145.0,540.0,22.0,,4784.0,5,True,integrale permanente,1938.0,1622.0
PORSCHE,Panamera,petrol,125930,130304.0,260.0,495.0,8.7,,5052.0,3,False,integrale permanente,1937.0,1423.0
PORSCHE,Panamera,petrol/electric,140249,186834.0,456.0,404.0,3.5,,5052.0,6,False,integrale permanente,1937.0,1423.0
PORSCHE,Taycan,electric,110111,146050.0,163.0,407.0,22.0,,4963.0,11,True,integrale permanente,1966.0,1379.0
PORSCHE,Taycan Cross Turismo,electric,111136,141339.5,163.0,446.0,22.0,,4963.0,10,True,integrale permanente,1966.0,1391.0
RENAULT,4 E-Tech Electric,electric,29950,35890.0,78.0,375.0,18.0,,4144.0,6,True,anteriore,1808.0,1552.0
RENAULT,5 E-Tech Electric,electric,24950,31990.0,78.0,326.0,18.0,,3920.0,7,True,anteriore,1774.0,1500.0
RENAULT,Captur,lpg,24200,25375.0,82.0,487.0,6.1,,4227.0,4,False,anteriore,1797.0,1575.0
RENAULT,Captur,petrol,24550,25850.0,84.0,487.0,6.5,,4227.0,2,True,anteriore,1797.0,1575.0
RENAULT,Captur,petrol/electric,28700,31300.0,116.0,487.0,4.6,,4227.0,3,False,anteriore,1797.0,1575.0
RENAULT,Clio,lpg,20900,23300.0,88.0,391.0,8.5,,4117.0,3,True,anteriore,1768.0,1451.0
RENAULT,Clio,petrol,18900,20350.0,85.0,391.0,6.5,,4117.0,2,True,anteriore,1768.0,1451.0
RENAULT,Clio,petrol/electric,24900,26700.0,116.0,391.0,5.5,,4117.0,3,True,anteriore,1768.0,1451.0
RENAULT,Clio 2025,diesel,20450,20450.0,74.0,366.0,4.5,,4047.0,1,True,anteriore,1728.0,1439.0
RENAULT,Clio 2025,lpg,16600,19550.0,74.0,391.0,7.5,,4047.0,3,True,anteriore,1728.0,1439.0
RENAULT,Clio 2025,petrol,14950,19225.0,67.0,391.0,5.5,,4047.0,6,True,anteriore,1728.0,1439.0
RENAULT,Clio 2025,petrol/electric,22850,25100.0,105.0,391.0,5.5,,4047.0,3,True,anteriore,1728.0,1439.0
RENAULT,Kangoo,diesel,29050,31925.0,85.0,600.0,4.9,,4486.0,10,False,anteriore,1859.0,1838.0
RENAULT,Kangoo,petrol,28750,32300.0,96.0,600.0,6.0,,4486.0,11,False,anteriore,1859.0,1838.0
RENAULT,Symbioz,lpg,25900,28500.0,90.0,624.0,8.5,,4413.0,3,True,anteriore,1797.0,1575.0
RENAULT,Symbioz,petrol/electric,28350,32400.0,110.0,586.0,5.5,,4413.0,8,True,anteriore,1797.0,1575.0
RENAULT,Twingo E-Tech Electric,electric,19500,20300.0,35.0,260.0,15.0,,3789.0,2,True,anteriore,1720.0,1491.0
SEAT,Arona,petrol,22100,26750.0,85.0,400.0,5.0,,4164.0,13,False,anteriore,1780.0,1538.0
SEAT,Ateca,diesel,31850,40200.0,110.0,510.0,4.6,,4381.0,11,False,anteriore,1841.0,1601.0
SEAT,Ateca,petrol,29150,35650.0,110.0,510.0,6.5,,4381.0,10,True,anteriore,1841.0,1601.0
SEAT,Ibiza,petrol,16000,23200.0,77.5,355.0,5.0,,4070.0,14,False,anteriore,1780.0,1447.0
SEAT,Leon,diesel,30400,33400.0,97.5,380.0,5.2,,4368.0,6,True,anteriore,1799.0,1456.0
SEAT,Leon,petrol,27750,30100.0,97.5,380.0,6.5,,4368.0,6,True,anteriore,1799.0,1456.0
SEAT,Leon,petrol/electric,30950,33325.0,97.5,380.0,5.5,,4368.0,6,True,anteriore,1799.0,1456.0
SEAT,Leon station,diesel,31350,34375.0,97.5,620.0,5.2,,4642.0,6,True,anteriore,1799.0,1450.0
SEAT,Leon station,petrol,28700,31200.0,97.5,620.0,6.5,,4642.0,6,True,anteriore,1799.0,1450.0
SEAT,Leon station,petrol/electric,31650,34150.0,97.5,620.0,5.5,,4642.0,6,True,anteriore,1799.0,1450.0
SKODA,Elroq,electric,34500,45650.0,77.0,470.0,18.0,,4488.0,13,True,posteriore,1884.0,1625.0
SKODA,Fabia,petrol,20700,23650.0,85.0,380.0,4.6,,4108.0,18,False,anteriore,1780.0,1482.0
SKODA,Kamiq,petrol,25500,29800.0,85.0,400.0,4.9,,4241.0,19,False,anteriore,1793.0,1524.0
SKODA,Karoq,diesel,34700,40350.0,110.0,521.0,4.7,,4390.0,15,False,anteriore,1841.0,1603.0
SKODA,Karoq,petrol,32000,35900.0,110.0,521.0,5.2,,4390.0,15,False,anteriore,1841.0,1603.0
SKODA,Kodiaq,diesel,46250,51350.0,126.0,910.0,4.8,,4758.0,14,False,anteriore,1864.0,1656.0
SKODA,Kodiaq,petrol,50450,54400.0,150.0,910.0,4.6,,4758.0,6,False,anteriore,1864.0,1656.0
SKODA,Kodiaq,petrol/electric,42050,48950.0,110.0,845.0,4.6,,4758.0,11,False,anteriore,1864.0,1656.0
SKODA,Octavia,diesel,33450,37675.0,97.5,600.0,4.3,,4698.0,8,False,anteriore,1829.0,1470.0
SKODA,Octavia,petrol,29500,38150.0,110.0,600.0,5.0,,4698.0,11,False,anteriore,1829.0,1470.0
SKODA,Octavia,petrol/electric,31800,35400.0,110.0,600.0,4.6,,4698.0,7,False,anteriore,1829.0,1470.0
SKODA,Octavia wagon,diesel,34500,38725.0,97.5,640.0,4.1,,4698.0,8,False,anteriore,1829.0,1468.0
SKODA,Octavia wagon,petrol,30550,39200.0,110.0,640.0,5.1,,4698.0,11,False,anteriore,1829.0,1468.0
SKODA,Octavia wagon,petrol/electric,32850,36500.0,110.0,640.0,4.7,,4698.0,7,False,anteriore,1829.0,1468.0
SKODA,Scala,petrol,26150,31100.0,85.0,467.0,4.8,,4362.0,11,False,anteriore,1793.0,1471.0
SMART,#1,electric,37044,43593.0,75.0,323.0,18.0,,4270.0,7,True,posteriore,1822.0,1636.0
SMART,#3,electric,40544,48544.0,75.0,370.0,18.0,,4400.0,5,True,posteriore,1844.0,1556.0
SMART,#5,electric,47934,57554.0,103.5,630.0,18.0,,4695.0,6,True,integrale permanente,1920.0,1705.0
SUBARU,BRZ,petrol,49500,49500.0,172.0,243.0,8.8,,4265.0,1,False,posteriore,1775.0,1300.0
SUBARU,Crosstrek,petrol/electric,35900,38300.0,100.0,500.0,6.7,,4495.0,3,False,integrale permanente,1800.0,1600.0
SUBARU,Forester,petrol/electric,41950,45700.0,100.0,500.0,5.5,,4670.0,4,True,integrale permanente,1830.0,1730.0
SUBARU,Outback,petrol,54950,55700.0,124.0,470.0,7.4,,4870.0,2,False,integrale permanente,1875.0,1675.0
SUBARU,Solterra,electric,49900,51900.0,118.0,415.5,18.0,,4690.0,2,True,integrale permanente,1860.0,1650.0
SUZUKI,Across,petrol/electric,55400,55400.0,225.0,490.0,1.2,,4635.0,1,False,integrale permanente,1855.0,1690.0
SUZUKI,S-Cross,petrol/electric,29450,34200.0,81.0,430.0,4.8,,4305.0,16,False,anteriore,1785.0,1585.0
SUZUKI,Swace,petrol/electric,34000,35500.0,103.0,596.0,5.5,,4655.0,2,True,anteriore,1790.0,1460.0
SUZUKI,Swift,petrol/electric,21450,22950.0,61.0,265.0,4.8,,3860.0,5,True,anteriore,1735.0,1495.0
SUZUKI,Vitara,petrol/electric,27450,32200.0,81.0,362.0,5.5,,4185.0,16,True,anteriore,1775.0,1600.0
SUZUKI,e Vitara,electric,36900,36900.0,95.0,238.0,18.0,,4275.0,3,True,integrale permanente,1800.0,1635.0
TESLA,Model 3,electric,37970,46720.0,121.5,682.0,18.0,,4720.0,4,True,integrale permanente,1850.0,1441.0
TESLA,Model S,electric,110970,115970.0,287.5,745.0,22.0,,5021.0,2,True,integrale permanente,1975.5,1445.0
TESLA,Model Y,electric,41970,51970.0,120.0,,18.0,,4790.0,5,True,posteriore,1982.0,1624.0
TOYOTA,Aygo X,petrol,18950,21750.0,53.0,168.0,4.1,,3700.0,6,False,anteriore,1740.0,1525.0
TOYOTA,Aygo X,petrol/electric,20850,24150.0,85.0,231.0,3.5,,3776.0,4,False,anteriore,1740.0,1525.0
TOYOTA,C-HR,petrol/electric,36250,42425.0,133.5,349.0,6.5,,4362.0,10,True,anteriore,1832.0,1561.0
TOYOTA,Corolla Cross,petrol/electric,38000,45500.0,132.0,419.5,6.5,,4460.0,6,True,anteriore,1825.0,1620.0
TOYOTA,Corolla station,petrol/electric,35500,39300.0,103.0,596.0,3.4,,4650.0,3,False,anteriore,1790.0,1460.0
TOYOTA,Proace City Verso,diesel,28500,36000.0,96.0,723.5,4.4,,4578.0,10,False,anteriore,1848.0,1812.0
TOYOTA,Proace City Verso,petrol,27000,29250.0,81.0,597.0,5.3,,4403.0,2,False,anteriore,1848.0,1812.0
TOYOTA,Proace City Verso Electric,electric,39450,43100.0,62.0,723.5,15.0,,4578.0,6,True,anteriore,1848.0,1880.0
TOYOTA,Yaris,petrol,52000,55000.0,206.0,141.0,8.9,,3995.0,2,False,anteriore,1745.0,1500.0
TOYOTA,Yaris,petrol/electric,24550,28650.0,90.5,286.0,2.9,,3940.0,8,False,anteriore,1745.0,1500.0
TOYOTA,Yaris Cross,petrol/electric,28750,34300.0,96.0,397.0,3.5,,4180.0,12,False,anteriore,1765.0,1595.0
VOLKSWAGEN,Golf,diesel,34700,38950.0,110.0,380.0,5.2,,4286.0,7,True,anteriore,1789.0,1483.0
VOLKSWAGEN,Golf,petrol,31350,34425.0,110.0,380.0,6.5,,4286.0,8,True,anteriore,1789.0,1483.0
VOLKSWAGEN,Golf,petrol/electric,34000,38250.0,110.0,381.0,1.2,,4286.0,12,False,anteriore,1789.0,1483.0
VOLKSWAGEN,Golf station,diesel,35750,40000.0,110.0,611.0,5.2,,4635.0,7,True,anteriore,1789.0,1487.0
VOLKSWAGEN,Golf station,petrol,32400,32500.0,85.0,611.0,6.5,,4635.0,2,True,anteriore,1789.0,1487.0
VOLKSWAGEN,Golf station,petrol/electric,35050,37600.0,85.0,611.0,5.5,,4635.0,7,True,anteriore,1789.0,1487.0
VOLKSWAGEN,ID.3,electric,36490,42490.0,70.0,385.0,15.0,,4264.0,9,True,posteriore,1809.0,1564.0
VOLKSWAGEN,ID.Polo,electric,35000,36700.0,80.0,441.0,18.0,,4053.0,2,True,posteriore,1816.0,1530.0
VOLKSWAGEN,Polo,petrol,23900,27400.0,70.0,351.0,4.7,,4074.0,18,False,anteriore,1751.0,1451.0
VOLKSWAGEN,T-Cross,petrol,27200,30200.0,85.0,385.0,6.5,,4131.0,12,True,anteriore,1760.0,1559.0
VOLKSWAGEN,T-Roc,petrol/electric,33900,37500.0,110.0,475.0,5.5,,4372.0,5,True,anteriore,1828.0,1573.0
VOLKSWAGEN,Taigo,petrol,26000,29475.0,85.0,440.0,4.8,,4269.0,12,False,anteriore,1757.0,1518.0
VOLVO,EX30,electric,36350,44100.0,75.0,318.0,18.0,,4233.0,26,True,posteriore,1836.0,1549.0
VOLVO,EX30 Cross Country,electric,45350,51700.0,115.0,318.0,18.0,,4233.0,5,True,integrale permanente,1837.0,1567.0
VOLVO,EX40,electric,40900,61150.0,128.0,441.0,18.0,,4440.0,11,True,posteriore,1863.0,1647.0
VOLVO,EX60,electric,65350,73400.0,259.0,523.0,22.0,,4803.0,6,True,integrale permanente,1908.0,1635.0
VOLVO,EX60 Cross Country,electric,71450,74925.0,200.0,581.0,22.0,,4811.0,2,True,integrale permanente,1899.0,1651.0
VOLVO,V60,petrol/electric,49050,67050.0,247.0,519.0,6.5,,4778.0,13,True,integrale permanente,1850.0,1427.0
VOLVO,XC40,petrol/electric,41250,49200.0,120.0,443.0,5.5,,4440.0,11,True,anteriore,1863.0,1652.0
VOLVO,XC60,petrol/electric,58500,72550.0,247.0,468.0,6.5,,4708.0,22,True,integrale permanente,1902.0,1658.0
